"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Shane Battier","SG",26,"MEM",80,72,31.5,3.4,7.7,0.442,0.9,2.2,0.395,2.5,5.5,0.461,0.499,2.3,2.9,0.789,2,3.2,5.2,1.6,1.1,1,0.9,2.5,9.9,2004,80,220,"Duke",2002,2014,"Not Rookie",4.3,13.6,"SG",2,2
"Carlos Boozer","PF",24,"UTA",33,19,31.1,6.6,12.1,0.549,0,0,0,6.6,12.1,0.549,0.549,3,4.2,0.723,2.2,6.4,8.6,2.7,0.9,0.2,2.1,3.2,16.3,2005,81,258,"Duke",2003,2015,"Not Rookie",5.5,21.1,"PF",4,2
"Chris Duhon","PG",23,"CHI",74,38,29.1,2.9,7.3,0.4,1.4,3.8,0.36,1.6,3.5,0.442,0.493,1.6,1.9,0.818,0.4,2.6,3,5,0.9,0,1.6,2.1,8.7,2005,73,185,"Duke",2005,2013,"Rookie",4.4,11.6,"PG",1,0
"Corey Maggette","SF",26,"LAC",32,13,29.5,5.2,11.7,0.445,0.8,2.2,0.338,4.5,9.5,0.47,0.477,6.6,8,0.828,0.9,4.4,5.3,2.1,0.6,0.1,2.4,3,17.8,2005,78,218,"Duke",2000,2013,"Not Rookie",6.5,17,"SF",3,5
"Daniel Ewing","SG",22,"LAC",66,5,14.7,1.5,3.9,0.38,0.3,1.2,0.282,1.1,2.7,0.424,0.424,0.5,0.7,0.783,0.3,0.9,1.3,1.3,0.6,0.1,0.9,1.3,3.8,2005,75,185,"Duke",2006,2007,"Not Rookie",2.4,3.8,"SG",2,-1
"Elton Brand","PF",26,"LAC",79,79,39.2,9.6,18.2,0.527,0,0,0.333,9.6,18.1,0.527,0.527,5.6,7.2,0.775,3,7,10,2.6,1,2.5,2.2,2.9,24.7,2005,80,275,"Duke",2000,2016,"Not Rookie",8.6,30,"PF",4,5
"Grant Hill","SF",33,"ORL",21,17,29.2,5.7,11.6,0.49,0.1,0.4,0.25,5.6,11.2,0.498,0.494,3.7,4.9,0.765,0.7,3.1,3.8,2.3,1.1,0.3,1.7,2.4,15.1,2005,80,225,"Duke",1995,2013,"Not Rookie",5.9,15,"SF",3,10
"Shane Battier","SF",27,"MEM",81,81,35,3.7,7.7,0.488,0.8,2,0.394,2.9,5.6,0.522,0.54,1.8,2.6,0.707,2,3.3,5.3,1.7,1.1,1.4,1.1,2.8,10.1,2005,80,220,"Duke",2002,2014,"Not Rookie",4,14.5,"SF",3,3
"Shavlik Randolph","PF",22,"PHI",57,1,8.5,0.8,1.7,0.454,0,0,0,0.8,1.7,0.454,0.454,0.8,1.2,0.606,1,1.4,2.3,0.3,0.3,0.2,0.4,1.5,2.3,2005,82,240,"Duke",2006,2015,"Not Rookie",0.9,4.1,"PF",4,-1
"Carlos Boozer","PF",25,"UTA",74,74,34.6,8.7,15.6,0.561,0,0,0,8.7,15.6,0.561,0.561,3.4,5,0.685,3.2,8.5,11.7,3,0.9,0.3,2.6,2.9,20.9,2006,81,258,"Duke",2003,2015,"Not Rookie",6.9,27.3,"PF",4,3
"Chris Duhon","PG",24,"CHI",78,30,24.4,2.5,6.2,0.408,1.1,3.1,0.359,1.4,3.1,0.458,0.499,1,1.3,0.752,0.3,1.9,2.2,4,0.9,0.1,1.3,1.9,7.2,2006,73,185,"Duke",2005,2013,"Not Rookie",3.7,9.4,"PG",1,1
"Corey Maggette","SF",27,"LAC",75,31,30.5,4.9,10.8,0.454,0.2,0.9,0.2,4.7,9.9,0.476,0.462,6.9,8.4,0.82,1.2,4.7,5.9,2.8,0.9,0.2,2.7,3.3,16.9,2006,78,218,"Duke",2000,2013,"Not Rookie",5.9,18.1,"SF",3,6
"Daniel Ewing","PG",23,"LAC",61,3,11.7,1.1,2.6,0.404,0.2,0.7,0.318,0.8,1.9,0.436,0.447,0.6,0.7,0.778,0.1,1,1.2,1.5,0.5,0.1,0.8,1,2.9,2006,75,185,"Duke",2006,2007,"Rookie",1.5,3.9,"PG",1,0
